0,1,2,3,4
Table 1.9:  Summary of Total Mining Capital Costs,,,,
,"Open Pit 
(USD’000)",Underground (USD’000),,
,,Equipment,"Capital 
Development","Total 
Cost"
"CAPEX Scenario 1, Processing Option 3","70,035","105,000","85,000","190,000"
"CAPEX Scenario 2, Processing Option 3","66,465","95,000","85,000","190,000"
"CAPEX Scenario 3, Processing Option 4","80,535","95,000","80,000","175,000"
"CAPEX Scenario 4 (OP only),  
Processing Option 3","70,035",0,,0
